,submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,new_death,pnew_death,created_at,consent_cases,consent_deaths,conf_death,prob_death
0,2021-09-01T00:00:00.000,ND,118491,107475.0,11016,536.0,66,1562,1.0,0,2021-09-02T13:49:05.431,Agree,Not agree,,
1,2020-07-30T00:00:00.000,ME,3910,3497.0,413,22.0,2,123,2.0,0,2020-07-31T14:35:06.518,Agree,Agree,122.0,1
2,2020-06-15T00:00:00.000,WI,25480,22932.0,2548,185.0,11,700,2.0,0,2020-06-16T14:10:11.939,Agree,Agree,694.0,6
3,2020-06-10T00:00:00.000,IN,38337,,,304.0,0,2498,19.0,1,2020-06-10T00:00:00.000,Not agree,Agree,2312.0,186
4,2020-07-31T00:00:00.000,ND,6602,6602.0,0,133.0,0,103,0.0,0,2020-08-01T14:38:12.337,Agree,Not agree,,
5,2020-07-07T00:00:00.000,NE,20150,,,179.0,0,282,-1.0,0,2020-07-09T00:00:00.000,Not agree,Not agree,,
6,2020-01-27T00:00:00.000,MI,0,,,0.0,,0,0.0,,2020-03-26T16:22:39.452,Agree,Agree,,
7,2020-05-15T00:00:00.000,CT,36085,34059.0,2026,621.0,-11,3285,66.0,8,2020-05-16T15:46:44.000,Agree,Agree,2524.0,761
8,2021-05-17T00:00:00.000,AL,545270,420274.0,124996,377.0,132,11267,5.0,2,2021-05-19T00:00:00.000,Agree,Agree,8978.0,2289
9,2021-05-03T00:00:00.000,AL,540815,417115.0,123700,502.0,143,11152,6.0,1,2021-05-05T00:00:00.000,Agree,Agree,8887.0,2265
10,2020-01-30T00:00:00.000,MI,0,,,0.0,,0,0.0,,2020-03-26T16:22:39.452,Agree,Agree,,
11,2020-08-19T00:00:00.000,NV,63248,,,394.0,5,1162,32.0,0,2020-08-20T15:11:45.225,,,,
12,2020-08-16T00:00:00.000,AL,120690,109773.0,10917,603.0,154,2928,30.0,4,2020-08-18T00:00:00.000,Agree,Agree,2607.0,321
13,2020-06-23T00:00:00.000,MD,65337,,,330.0,0,3218,15.0,0,2020-06-25T00:00:00.000,N/A,Agree,3088.0,130
14,2021-03-31T00:00:00.000,ND,103299,96726.0,6573,208.0,49,1466,0.0,0,2021-04-01T14:13:30.582,Agree,Not agree,,
15,2020-07-06T00:00:00.000,DE,12583,11656.0,927,119.0,0,514,2.0,0,2020-07-08T00:00:00.000,Agree,Agree,457.0,57
16,2021-01-18T00:00:00.000,MI,633020,579621.0,53399,2211.0,322,15155,45.0,2,2021-01-19T00:00:00.000,Agree,Agree,14269.0,886
17,2021-02-19T00:00:00.000,MS,292363,181931.0,110432,535.0,314,6948,9.0,5,2021-02-21T00:00:00.000,Agree,Agree,4849.0,2099
18,2020-03-16T00:00:00.000,ME,19,,,5.0,,0,0.0,,2020-03-26T16:22:39.452,Agree,Agree,,
19,2021-06-05T00:00:00.000,NC,1002717,854360.0,148357,482.0,127,13410,6.0,3,2021-06-05T00:00:00.000,Agree,Agree,11824.0,1586
20,2020-04-24T00:00:00.000,ME,965,965.0,0,28.0,0,47,3.0,0,2020-05-25T15:38:40.000,Agree,Agree,47.0,0
21,2021-02-14T00:00:00.000,GU,7699,,,10.0,0,130,0.0,0,2021-02-15T14:46:24.739,Not agree,Not agree,,
22,2020-03-13T00:00:00.000,VT,2,,,0.0,0,0,0.0,0,2020-03-15T00:00:00.000,Not agree,Not agree,,
23,2021-07-09T00:00:00.000,MO,631603,,,1639.0,472,9387,4.0,0,2021-07-10T14:17:36.847,Not agree,Not agree,,
24,2020-09-11T00:00:00.000,ID,34950,32228.0,2722,333.0,48,412,5.0,0,2020-09-12T14:12:43.160,Agree,Agree,375.0,37
25,2020-08-23T00:00:00.000,IL,221595,220178.0,1417,1893.0,0,8089,6.0,0,2020-08-24T13:54:34.344,Agree,Agree,7880.0,209
26,2020-08-08T00:00:00.000,NV,55644,,,887.0,1,977,30.0,1,2020-08-09T14:03:10.892,,,,
27,2021-09-09T00:00:00.000,WI,751195,675908.0,75287,2095.0,435,8589,32.0,1,2021-09-10T14:35:13.034,Agree,Agree,7717.0,872
28,2021-03-24T00:00:00.000,NE,208544,,,354.0,0,2159,9.0,0,2021-03-26T00:00:00.000,Not agree,Not agree,,
29,2021-03-21T00:00:00.000,VI,2858,,,6.0,0,25,0.0,0,2021-03-22T13:57:09.215,,,,
30,2020-08-31T00:00:00.000,NC,173315,170230.0,3085,655.0,25,2980,25.0,1,2020-08-31T00:00:00.000,Agree,Agree,2968.0,12
31,2021-08-02T00:00:00.000,WI,689285,622867.0,66418,697.0,56,8295,3.0,1,2021-08-03T14:29:23.404,Agree,Agree,7443.0,852
32,2020-04-01T00:00:00.000,MD,1985,,,325.0,,53,9.0,1,2020-04-03T00:00:00.000,N/A,Agree,51.0,2
33,2021-07-06T00:00:00.000,WI,678048,613152.0,64896,40.0,5,8144,0.0,0,2021-07-07T14:48:49.531,Agree,Agree,7323.0,821
34,2020-08-29T00:00:00.000,VT,1464,,,12.0,0,57,0.0,0,2020-08-31T00:00:00.000,Not agree,Not agree,,
35,2020-06-18T00:00:00.000,IL,135639,134778.0,861,593.0,0,6718,52.0,0,2020-06-19T15:01:11.041,Agree,Agree,6537.0,181
36,2021-02-11T00:00:00.000,MO,540239,,,1007.0,270,8330,19.0,0,2021-02-13T00:00:00.000,Not agree,Not agree,,
37,2021-03-15T00:00:00.000,AL,521138,403213.0,117925,581.0,175,10762,10.0,2,2021-03-17T00:00:00.000,Agree,Agree,8581.0,2181
38,2020-05-27T00:00:00.000,MO,13208,,,262.0,0,858,8.0,0,2020-05-29T00:00:00.000,Not agree,Not agree,,
39,2020-08-24T00:00:00.000,NE,32257,,,340.0,0,383,5.0,0,2020-08-26T00:00:00.000,Not agree,Not agree,,
40,2021-05-27T00:00:00.000,GU,8156,,,2.0,0,139,0.0,0,2021-05-28T13:29:21.497,Not agree,Not agree,,
41,2021-07-03T00:00:00.000,NC,1013868,862355.0,151513,527.0,153,13549,5.0,0,2021-07-03T00:00:00.000,Agree,Agree,11947.0,1602
42,2020-11-04T00:00:00.000,AL,205065,174134.0,30931,1630.0,382,4655,23.0,3,2020-11-06T00:00:00.000,Agree,Agree,3984.0,671
43,2020-12-11T00:00:00.000,CA,1695112,1655747.0,39365,43402.0,1763,22994,250.0,0,2020-12-11T00:00:00.000,Agree,Agree,22994.0,0
44,2020-06-23T00:00:00.000,WI,28127,25331.0,2796,289.0,26,757,6.0,1,2020-06-24T15:03:27.381,Agree,Agree,750.0,7
45,2020-03-26T00:00:00.000,NH,158,,,21.0,,1,0.0,,2020-03-26T16:22:39.452,Not agree,Not agree,,
46,2021-02-13T00:00:00.000,MD,370983,,,847.0,0,8020,26.0,0,2021-02-15T00:00:00.000,N/A,Agree,7820.0,200
