Date:,Details: ,Key-word:
3/16/20,"The United States will be powerfully supporting those industries, like airlines and others, that are particularly affected by the Chinese Virus. We will be stronger than ever before!",Chinese virus
3/17/20,"Cuomo wants “all states to be treated the same.” But all states aren’t the same. Some are being hit hard by the Chinese Virus, some are being hit practically not at all. New York is a very big “hotspot”, West Virginia has, thus far, zero cases. Andrew, keep politics out of it....",Chinese virus
3/18/20,"For the people that are now out of work because of the important and necessary containment policies, for instance the shutting down of hotels, bars and restaurants, money will soon be coming to you. The onslaught of the Chinese Virus is not your fault! Will be stronger than ever!",Chinese virus
3/18/20,I will be having a news conference today to discuss very important news from the FDA concerning the Chinese Virus!,Chinese virus
3/18/20,"I always treated the Chinese Virus very seriously, and have done a very good job from the beginning, including my very early decision to close the ""borders"" from China - against the wishes of almost all. Many lives were saved. The Fake News new narrative is disgraceful & false!",Chinese virus
3/18/20,"I only signed the Defense Production Act to combat the Chinese Virus should we need to invoke it in a worst case scenario in the future. Hopefully there will be no need, but we are all in this TOGETHER!",Chinese virus
3/21/20,CHINESE VIRUS FACT CHECK https://t.co/qJugCylvE2,Chinese virus
3/22/20,"My friend (always there when I’ve needed him!), Senator @RandPaul, was just tested “positive” from the Chinese Virus. That is not good! He is strong and will get better. Just spoke to him and he was in good spirits.",Chinese virus
3/27/20,Just finished a very good conversation with President Xi of China. Discussed in great detail the CoronaVirus that is ravaging large parts of our Planet. China has been through much & has developed a strong understanding of the Virus. We are working closely together. Much respect!,Chinavirus 
4/10/20,RT @SenTomCotton: .@Max_Fisher claims—without evidence—that I believe the China virus was “produced by a Chinese weapons lab.” He should ha…,Chinavirus 
4/19/20,RT @ArthurSchwartz: She calls it “the flu” and says that calling it the China Virus is racist towards Asian Americans.,Chinavirus 
5/3/20,"Intelligence has just reported to me that I was correct, and that they did NOT bring up the CoronaVirus subject matter until late into January, just prior to my banning China from the U.S. Also, they only spoke of the Virus in a very non-threatening, or matter of fact, manner...",Chinavirus 
5/10/20,".@CBS and their show, @60Minutes, are doing everything within their power, which is far less today than it was in the past, to defend China and the horrible Virus pandemic that was inflicted on the USA and the rest of the World. I guess they want to do business in China!",Chinavirus 
5/20/20,"Some wacko in China just released a statement blaming everybody other than China for the Virus which has now killed hundreds of thousands of people. Please explain to this dope that it was the “incompetence of China”, and nothing else, that did this mass Worldwide killing!",Chinavirus 
5/25/20,"Great reviews on our handling of Covid 19, sometimes referred to as the China Virus. Ventilators, Testing, Medical Supply Distribution, we made a lot of Governors look very good - And got no credit for so doing. Most importantly, we helped a lot of great people!",Chinavirus 
5/26/20,"....One person lost to this invisible virus is too much, it should have been stopped at its source, China, but I acted very quickly, and made the right decisions. Many of the current political complainers thought, at the time, that I was moving far to fast, like Crazy Nancy!",Chinavirus 
5/28/20,"All over the World the CoronaVirus, a very bad 'gift' from China, marches on. Not good!",Chinavirus 
7/5/20,"New China Virus Cases up (because of massive testing), deaths are down, ""low and steady"". The Fake News MEdia should report this also, that new job numbers are setting records!",Chinavirus 
7/6/20,"Why does the Lamestream Fake News Media REFUSE to say that China Virus deaths are down 39%, and that we now have the lowest Fatality(Mortality) Rate in the World. They just can't stand that we are doing so well for our Country!",Chinavirus 
7/6/20,"RT @realDonaldTrump: New China Virus Cases up (because of massive testing), deaths are down, “low and steady”. The Fake News Media should r...",Chinavirus 
7/6/20,"Deaths from the China Virus are down 39%, while our great testing program continues to lead the World, by FAR! Why isn’t the Fake News reporting that Deaths are way down? It is only because they are, indeed, FAKE NEWS!",Chinavirus 
7/6/20,"BREAKING NEWS: The Mortality Rate for the China Virus in the U.S. is just about the LOWEST IN THE WORLD! Also, Deaths in the U.S. are way down, a tenfold decrease since the Pandemic height (and, our Economy is coming back strong!).",Chinavirus 
