date,death
2021-03-07,515151
2021-03-06,514309
2021-03-05,512629
2021-03-04,510408
2021-03-03,508665
2021-03-02,506216
2021-03-01,504488
2021-02-28,503247
2021-02-27,502196
2021-02-26,500349
2021-02-25,498208
2021-02-24,495070
2021-02-23,492623
2021-02-22,490382
2021-02-21,489147
2021-02-20,487860
2021-02-19,485700
2021-02-18,483223
2021-02-17,480607
2021-02-16,478259
2021-02-15,476906
2021-02-14,475828
2021-02-13,474462
2021-02-12,470995
2021-02-11,465568
2021-02-10,461695
2021-02-09,458250
2021-02-08,455455
2021-02-07,454146
2021-02-06,452671
2021-02-05,449677
2021-02-04,446134
2021-02-03,440922
2021-02-02,437237
2021-02-01,433751
2021-01-31,432189
2021-01-30,430130
2021-01-29,427148
2021-01-28,423645
2021-01-27,419634
2021-01-26,415557
2021-01-25,411823
2021-01-24,410230
2021-01-23,408286
2021-01-22,404695
2021-01-21,400715
2021-01-20,396837
2021-01-19,392428
2021-01-18,390287
2021-01-17,388892
2021-01-16,386839
2021-01-15,383130
2021-01-14,379451
2021-01-13,375536
2021-01-12,371449
2021-01-11,367385
2021-01-10,365652
2021-01-09,363584
2021-01-08,360047
2021-01-07,356267
2021-01-06,352188
2021-01-05,348286
2021-01-04,344802
2021-01-03,343255
2021-01-02,341800
2021-01-01,339394
2020-12-31,336802
2020-12-30,333505
2020-12-29,329605
2020-12-28,326316
2020-12-27,324826
2020-12-26,323429
2020-12-25,322003
2020-12-24,320450
2020-12-23,317492
2020-12-22,314099
2020-12-21,310962
2020-12-20,309482
2020-12-19,307814
2020-12-18,305106
2020-12-17,302240
2020-12-16,298775
2020-12-15,295322
2020-12-14,292398
2020-12-13,291041
2020-12-12,289540
2020-12-11,287043
2020-12-10,284296
2020-12-09,281164
2020-12-08,277995
2020-12-07,275315
2020-12-06,274024
2020-12-05,272861
2020-12-04,270375
2020-12-03,267812
2020-12-02,264990
2020-12-01,262179
2020-11-30,259690
2020-11-29,258653
2020-11-28,257828
2020-11-27,256585
2020-11-26,255181
2020-11-25,253789
2020-11-24,251508
2020-11-23,249417
2020-11-22,248564
2020-11-21,247641
2020-11-20,246090
2020-11-19,244180
2020-11-18,242170
2020-11-17,240285
2020-11-16,238732
2020-11-15,238125
2020-11-14,237413
2020-11-13,236060
2020-11-12,234759
2020-11-11,233647
2020-11-10,232070
2020-11-09,230712
2020-11-08,230135
2020-11-07,229622
2020-11-06,228497
2020-11-05,227312
2020-11-04,226158
2020-11-03,225027
2020-11-02,223510
2020-11-01,223035
2020-10-31,222625
2020-10-30,221667
2020-10-29,220720
2020-10-28,219660
2020-10-27,218613
2020-10-26,217691
2020-10-25,217294
2020-10-24,216903
2020-10-23,216007
2020-10-22,215058
2020-10-21,213964
2020-10-20,212913
2020-10-19,212080
2020-10-18,211637
2020-10-17,211232
2020-10-16,210452
2020-10-15,209561
2020-10-14,208633
2020-10-13,207832
2020-10-12,207114
2020-10-11,206830
2020-10-10,206358
2020-10-09,205668
2020-10-08,204754
2020-10-07,203775
2020-10-06,202846
2020-10-05,202233
2020-10-04,201902
2020-10-03,201522
2020-10-02,200784
2020-10-01,199942
2020-09-30,199080
2020-09-29,198016
2020-09-28,197292
2020-09-27,197046
2020-09-26,196736
2020-09-25,195863
2020-09-24,195016
2020-09-23,194078
2020-09-22,192922
2020-09-21,192063
2020-09-20,191782
2020-09-19,191455
2020-09-18,190708
2020-09-17,189807
2020-09-16,188927
2020-09-15,187737
2020-09-14,186703
2020-09-13,186296
2020-09-12,185904
2020-09-11,185087
2020-09-10,184072
2020-09-09,182911
2020-09-08,181823
2020-09-07,181476
2020-09-06,181249
2020-09-05,180797
2020-09-04,179871
2020-09-03,178872
2020-09-02,177800
2020-09-01,176765
2020-08-31,175751
2020-08-30,175371
2020-08-29,174894
2020-08-28,173877
2020-08-27,172857
2020-08-26,171729
2020-08-25,170429
2020-08-24,169289
2020-08-23,168948
2020-08-22,168371
2020-08-21,167336
2020-08-20,166217
2020-08-19,165088
2020-08-18,163677
2020-08-17,162498
2020-08-16,162087
2020-08-15,161470
2020-08-14,160243
2020-08-13,159017
2020-08-12,157854
2020-08-11,156337
2020-08-10,155017
2020-08-09,154587
2020-08-08,153966
2020-08-07,152880
2020-08-06,151558
2020-08-05,150316
2020-08-04,148962
2020-08-03,147720
2020-08-02,147204
2020-08-01,146708
2020-07-31,145507
2020-07-30,144183
2020-07-29,142933
2020-07-28,141428
2020-07-27,140317
2020-07-26,139251
2020-07-25,138690
2020-07-24,137678
2020-07-23,136504
2020-07-22,135433
2020-07-21,134284
2020-07-20,133241
2020-07-19,132865
2020-07-18,132339
2020-07-17,131462
2020-07-16,130524
2020-07-15,129584
2020-07-14,128720
2020-07-13,127978
2020-07-12,127649
2020-07-11,127178
2020-07-10,126425
2020-07-09,125584
2020-07-08,124722
2020-07-07,123903
2020-07-06,122997
2020-07-05,122764
2020-07-04,122550
2020-07-03,122255
2020-07-02,121653
2020-07-01,120954
2020-06-30,120258
2020-06-29,119675
2020-06-28,119339
2020-06-27,119068
2020-06-26,118558
2020-06-25,117950
2020-06-24,117296
2020-06-23,116592
2020-06-22,115864
2020-06-21,115576
2020-06-20,115285
2020-06-19,114674
2020-06-18,114017
2020-06-17,113338
2020-06-16,112560
2020-06-15,111834
2020-06-14,111451
2020-06-13,111097
2020-06-12,110407
2020-06-11,109641
2020-06-10,108745
2020-06-09,107853
2020-06-08,106959
2020-06-07,106287
2020-06-06,105837
2020-06-05,105128
2020-06-04,104296
2020-06-03,103414
2020-06-02,102441
2020-06-01,101459
2020-05-31,100783
2020-05-30,100129
2020-05-29,99208
2020-05-28,98037
2020-05-27,96802
2020-05-26,95462
2020-05-25,94794
2020-05-24,94238
2020-05-23,93549
2020-05-22,92514
2020-05-21,91228
2020-05-20,89847
2020-05-19,88452
2020-05-18,87125
2020-05-17,86272
2020-05-16,85410
2020-05-15,84161
2020-05-14,82624
2020-05-13,80778
2020-05-12,79049
2020-05-11,77531
2020-05-10,76642
2020-05-09,75615
2020-05-08,74156
2020-05-07,72368
2020-05-06,69636
2020-05-05,67705
2020-05-04,65209
2020-05-03,64226
2020-05-02,62979
2020-05-01,61458
2020-04-30,59646
2020-04-29,57493
2020-04-28,54804
2020-04-27,52726
2020-04-26,51452
2020-04-25,50240
2020-04-24,48606
2020-04-23,46633
2020-04-22,44827
2020-04-21,42677
2020-04-20,40199
2020-04-19,38385
2020-04-18,36620
2020-04-17,34724
2020-04-16,32608
2020-04-15,30412
2020-04-14,27871
2020-04-13,25515
2020-04-12,23885
2020-04-11,22187
2020-04-10,20108
2020-04-09,18027
2020-04-08,15973
2020-04-07,13974
2020-04-06,11932
2020-04-05,10618
2020-04-04,9278
2020-04-03,7800
2020-04-02,6512
2020-04-01,5337
2020-03-31,4331
2020-03-30,3422
