Date,state,Death,positive,positiveIncrease,totalTestResults
2021-03-07,AK,305,56886,0,1731628
2021-03-07,AL,10148,499819,408,2323788
2021-03-07,AR,5319,324818,165,2736442
2021-03-07,AS,0,0,0,2140
2021-03-07,AZ,16328,826454,1335,7908105
2021-03-07,CA,54124,3501394,3816,49646014
2021-03-07,CO,5989,436602,840,6415123
2021-03-07,CT,7704,285330,0,6520366
2021-03-07,DC,1030,41419,146,1261363
2021-03-07,DE,1473,88354,215,1431942
2021-03-07,FL,32266,1909209,4024,22339182
2021-03-07,GA,17906,1023487,1709,7359069
2021-03-07,GU,133,7749,0,120636
2021-03-07,HI,445,28699,53,1146796
2021-03-07,IA,5558,282384,257,1326802
2021-03-07,ID,1879,172931,104,645838
2021-03-07,IL,23014,1198335,1068,18640190
2021-03-07,IN,12737,667262,746,8242367
2021-03-07,KS,4812,295861,0,1270547
2021-03-07,KY,4819,410709,525,3975672
2021-03-07,LA,9748,433785,740,5695464
2021-03-07,MA,16417,591356,1425,16825551
2021-03-07,MD,7955,387319,709,8097590
2021-03-07,ME,706,45794,159,1660180
2021-03-07,MI,16658,656072,0,10621967
2021-03-07,MN,6550,490011,895,7111428
2021-03-07,MO,8161,480643,291,4565866
2021-03-07,MP,2,145,1,17574
2021-03-07,MS,6808,297581,260,1756955
2021-03-07,MT,1381,100914,72,1104488
2021-03-07,NC,11502,872176,0,9688838
2021-03-07,ND,1478,100391,34,1425146
2021-03-07,NE,2113,203026,373,2421684
2021-03-07,NH,1184,76861,166,1497185
2021-03-07,NJ,23574,812609,2519,10999550
2021-03-07,NM,3808,186922,180,2783542
2021-03-07,NV,5037,296190,730,2770192
2021-03-07,NY,39029,1681169,6789,39695100
2021-03-07,OH,17656,978471,735,10257157
2021-03-07,OK,4534,428997,461,3575297
2021-03-07,OR,2296,157079,195,3850973
2021-03-07,PA,24349,948643,1658,10681716
2021-03-07,PR,2062,101632,305,407604
2021-03-07,RI,2547,128781,265,3123348
2021-03-07,SC,8754,525865,1408,5183044
2021-03-07,SD,1900,113589,211,701924
2021-03-07,TN,11543,782206,0,6872745
2021-03-07,TX,44451,2686818,2953,19907384
2021-03-07,UT,1976,374850,412,2910121
2021-03-07,VA,9596,585700,1163,6038209
2021-03-07,VI,25,2714,0,48881
2021-03-07,VT,208,16083,119,1124215
2021-03-07,WA,5041,344532,664,5393756
2021-03-07,WI,7106,621654,377,7080595
2021-03-07,WV,2325,133445,155,2236551
2021-03-07,WY,682,54764,0,649293
2021-03-06,AK,305,56886,0,1731628
2021-03-06,AL,10149,499411,524,2321441
2021-03-06,AR,5297,324653,327,2733062
2021-03-06,AS,0,0,0,2140
2021-03-06,AZ,16323,825119,1735,7862995
2021-03-06,CA,53866,3497578,4452,49512828
2021-03-06,CO,5986,435762,1108,6376960
2021-03-06,CT,7704,285330,0,6520366
2021-03-06,DC,1030,41273,151,1255637
2021-03-06,DE,1464,88139,265,1426075
2021-03-06,FL,32200,1905185,4587,22274583
2021-03-06,GA,17905,1021778,2269,7340242
2021-03-06,GU,133,7749,1,120636
2021-03-06,HI,444,28646,85,1141679
2021-03-06,IA,5552,282127,362,1325246
2021-03-06,ID,1876,172827,240,645442
2021-03-06,IL,23002,1197267,2565,18572096
2021-03-06,IN,12726,666516,1231,8212940
2021-03-06,KS,4812,295861,0,1270547
2021-03-06,KY,4806,410184,839,3975672
2021-03-06,LA,9716,433045,0,5674146
2021-03-06,MA,16374,589931,1722,16728973
2021-03-06,MD,7941,386610,932,8064462
2021-03-06,ME,704,45635,183,1652690
2021-03-06,MI,16658,656072,1692,10621967
2021-03-06,MN,6546,489116,946,7086059
2021-03-06,MO,8161,480352,386,4555207
2021-03-06,MP,2,144,0,17573
2021-03-06,MS,6805,297321,576,1756695
2021-03-06,MT,1381,100842,186,1101356
2021-03-06,NC,11502,872176,2027,9688838
2021-03-06,ND,1478,100357,79,1424467
2021-03-06,NE,2113,202653,343,2421683
2021-03-06,NH,1181,76695,273,1481488
2021-03-06,NJ,23557,810090,3720,10997031
2021-03-06,NM,3796,186742,282,2771840
2021-03-06,NV,5036,295460,0,2763991
2021-03-06,NY,38970,1674380,7647,39467332
2021-03-06,OH,17656,977736,1506,10227868
2021-03-06,OK,4534,428536,978,3574836
2021-03-06,OR,2293,156884,211,3850973
2021-03-06,PA,24317,946985,2789,10629284
2021-03-06,PR,2059,101327,261,407299
2021-03-06,RI,2547,128516,395,3109835
2021-03-06,SC,8719,524457,1199,5155780
2021-03-06,SD,1898,113378,149,700649
2021-03-06,TN,11543,782206,1312,6872745
2021-03-06,TX,44367,2683865,5570,19831344
2021-03-06,UT,1975,374438,570,2903293
2021-03-06,VA,9519,584537,1477,6018284
2021-03-06,VI,25,2714,0,48881
2021-03-06,VT,208,15964,145,1115467
2021-03-06,WA,5041,343868,778,5369716
2021-03-06,WI,7102,621277,614,7061402
2021-03-06,WV,2323,133290,326,2230102
2021-03-06,WY,682,54764,0,649293
2021-03-05,AK,305,56886,141,1731628
2021-03-05,AL,10122,498887,811,2316127
2021-03-05,AR,5283,324326,570,2728103
2021-03-05,AS,0,0,0,2140
2021-03-05,AZ,16269,823384,2276,7827570
2021-03-05,CA,53448,3493126,4659,49294503
2021-03-05,CO,5986,434654,1633,6343360
2021-03-05,CT,7704,285330,830,6520366
2021-03-05,DC,1027,41122,108,1247637
2021-03-05,DE,1453,87874,231,1417318
2021-03-05,FL,32093,1900598,5876,22186763
2021-03-05,GA,17815,1019509,2081,7315477
2021-03-05,GU,133,7748,1,120635
2021-03-05,HI,443,28561,95,1136395
2021-03-05,IA,5549,281765,374,1323369
2021-03-05,ID,1876,172587,299,644796
2021-03-05,IL,22946,1194702,1442,18492848
2021-03-05,IN,12697,665285,839,8171222
2021-03-05,KS,4812,295861,752,1270547
2021-03-05,KY,4754,409345,905,3969899
2021-03-05,LA,9716,433045,518,5674146
2021-03-05,MA,16322,588209,1899,16628614
2021-03-05,MD,7930,385678,913,8024078
2021-03-05,ME,704,45452,225,1644587
2021-03-05,MI,16601,654380,1791,10584735
2021-03-05,MN,6534,488170,796,7058033
2021-03-05,MO,8158,479966,430,4541067
2021-03-05,MP,2,144,0,17573
2021-03-05,MS,6783,296745,591,1756119
2021-03-05,MT,1379,100656,125,1096913
2021-03-05,NC,11446,870149,2093,9650184
2021-03-05,ND,1478,100278,94,1422537
2021-03-05,NE,2112,202310,337,2411545
2021-03-05,NH,1178,76422,244,1481488
2021-03-05,NJ,23521,806370,3701,10993311
2021-03-05,NM,3787,186460,304,2757994
2021-03-05,NV,5020,295460,391,2754332
2021-03-05,NY,38891,1666733,8956,39194200
2021-03-05,OH,17656,976230,1750,10187678
2021-03-05,OK,4534,427558,917,3562618
2021-03-05,OR,2284,156673,386,3798067
2021-03-05,PA,24262,944196,2757,10629284
2021-03-05,PR,2056,101066,199,407038
2021-03-05,RI,2541,128121,394,3087981
2021-03-05,SC,8699,523258,1695,5126807
2021-03-05,SD,1896,113229,164,698456
2021-03-05,TN,11534,780894,1445,6856581
2021-03-05,TX,44134,2678295,6853,19820052
2021-03-05,UT,1970,373868,1160,2895082
2021-03-05,VA,9428,583060,1652,5996828
2021-03-05,VI,25,2714,10,48881
2021-03-05,VT,207,15819,133,1107296
2021-03-05,WA,5032,343090,854,5344402
2021-03-05,WI,7094,620663,721,7037081
2021-03-05,WV,2318,132964,287,2218488
2021-03-05,WY,682,54764,79,649293
2021-03-04,AK,303,56745,140,1724484
2021-03-04,AL,10094,498076,922,2311207
2021-03-04,AR,5273,323756,403,2719229
2021-03-04,AS,0,0,0,2140
2021-03-04,AZ,16185,821108,1154,7775843
2021-03-04,CA,53048,3488467,3504,49147685
2021-03-04,CO,5974,433021,1351,6310233
2021-03-04,CT,7693,284500,878,6478498
2021-03-04,DC,1024,41014,196,1241816
2021-03-04,DE,1444,87643,218,1413640
2021-03-04,FL,31955,1894722,5997,22079838
2021-03-04,GA,17750,1017428,2886,7279616
2021-03-04,GU,131,7747,2,120096
2021-03-04,HI,441,28466,59,1131093
2021-03-04,IA,5536,281391,400,1321446
2021-03-04,ID,1876,172288,452,643358
2021-03-04,IL,22902,1193260,1740,18389512
2021-03-04,IN,12663,664446,935,8133596
2021-03-04,KS,4816,295109,0,1264760
2021-03-04,KY,4732,408440,1067,3954639
2021-03-04,LA,9686,432527,756,5654985
2021-03-04,MA,16296,586310,1567,16522351
2021-03-04,MD,7922,384765,809,7982350
2021-03-04,ME,705,45227,136,1633308
2021-03-04,MI,16589,652589,1827,10538623
2021-03-04,MN,6521,487374,940,7023826
2021-03-04,MO,8150,479536,467,4524474
2021-03-04,MP,2,144,0,17573
2021-03-04,MS,6764,296154,479,1755528
2021-03-04,MT,1375,100531,180,1091522
2021-03-04,NC,11399,868056,2502,9605697
2021-03-04,ND,1478,100184,117,1419620
2021-03-04,NE,2092,201973,365,2403686
2021-03-04,NH,1178,76178,188,1474441
2021-03-04,NJ,23491,802669,3193,10899020
2021-03-04,NM,3769,186156,258,2738734
2021-03-04,NV,5005,295069,385,2746308
2021-03-04,NY,38796,1657777,7593,38897265
2021-03-04,OH,17189,974480,1875,10144547
2021-03-04,OK,4534,426641,895,3553402
2021-03-04,OR,2252,156287,250,3787438
2021-03-04,PA,24219,941439,3028,10569767
2021-03-04,PR,2053,100867,102,406839
2021-03-04,RI,2539,127727,442,3065112
2021-03-04,SC,8660,521563,1567,5099813
2021-03-04,SD,1896,113065,232,696656
2021-03-04,TN,11501,779449,1514,6834882
2021-03-04,TX,43878,2671442,8028,19764177
2021-03-04,UT,1955,372708,0,2886369
2021-03-04,VA,9357,581408,1300,5972272
2021-03-04,VI,25,2704,9,48711
2021-03-04,VT,207,15686,199,1094855
2021-03-04,WA,5012,342236,795,5320381
2021-03-04,WI,7082,619942,855,7008539
2021-03-04,WV,2309,132677,261,2207676
2021-03-04,WY,682,54685,69,646179
2021-03-03,AK,303,56605,177,1711018
2021-03-03,AL,10029,497154,2733,2305317
2021-03-03,AR,5261,323353,404,2709946
2021-03-03,AS,0,0,0,2140
2021-03-03,AZ,16089,819954,1284,7739361
2021-03-03,CA,52775,3484963,3352,49028048
2021-03-03,CO,5970,431670,1055,6273669
2021-03-03,CT,7678,283622,494,6435635
2021-03-03,DC,1023,40818,51,1233983
2021-03-03,DE,1440,87425,232,1409916
2021-03-03,FL,31829,1888725,5860,21975593
2021-03-03,GA,17625,1014542,2735,7251427
2021-03-03,GU,131,7745,3,119670
2021-03-03,HI,441,28407,17,1124866
2021-03-03,IA,5501,280991,482,1318994
2021-03-03,ID,1871,171836,374,641917
2021-03-03,IL,22853,1191520,2104,18315522
2021-03-03,IN,12633,663511,761,8093057
2021-03-03,KS,4816,295109,807,1264760
2021-03-03,KY,4704,407373,1172,3940366
2021-03-03,LA,9668,431771,500,5630195
2021-03-03,MA,16252,584743,1899,16419989
2021-03-03,MD,7919,383956,786,7948627
2021-03-03,ME,705,45091,147,1622215
2021-03-03,MI,16550,650762,1705,10492137
2021-03-03,MN,6507,486434,779,6960999
2021-03-03,MO,8148,479069,387,4508176
2021-03-03,MP,2,144,1,17573
2021-03-03,MS,6743,295675,380,1755049
2021-03-03,MT,1373,100351,193,1086548
2021-03-03,NC,11363,865554,2145,9561647
2021-03-03,ND,1478,100067,110,1416045
2021-03-03,NE,2091,201608,262,2392401
2021-03-03,NH,1175,75990,187,1467389
2021-03-03,NJ,23449,799476,3691,10895827
2021-03-03,NM,3753,185898,356,2720382
2021-03-03,NV,4987,294684,395,2738065
2021-03-03,NY,38735,1650184,7704,38627176
2021-03-03,OH,17189,972605,2022,10101222
2021-03-03,OK,4534,425746,747,3542049
2021-03-03,OR,2225,156037,250,3760400
2021-03-03,PA,24169,938411,2577,10514461
2021-03-03,PR,2048,100765,30,406737
2021-03-03,RI,2534,127285,436,3041681
2021-03-03,SC,8620,519996,1173,5078144
2021-03-03,SD,1893,112833,181,694883
2021-03-03,TN,11459,777935,1598,6817121
2021-03-03,TX,43563,2663414,7822,19707655
2021-03-03,UT,1955,372708,729,2876176
2021-03-03,VA,9326,580108,1549,5946972
2021-03-03,VI,25,2695,49,48536
2021-03-03,VT,207,15487,115,1083198
2021-03-03,WA,4988,341441,733,5301508
2021-03-03,WI,7069,619087,780,6970553
2021-03-03,WV,2309,132416,232,2198254
2021-03-03,WY,682,54616,89,643476
2021-03-02,AK,302,56428,89,1704660
2021-03-02,AL,9991,494421,652,2295722
2021-03-02,AR,5254,322949,440,2702395
2021-03-02,AS,0,0,0,2140
2021-03-02,AZ,16060,818670,849,7701480
2021-03-02,CA,52497,3481611,2533,48897190
2021-03-02,CO,5959,430615,776,6243861
2021-03-02,CT,7658,283128,502,6418467
2021-03-02,DC,1019,40767,83,1233844
2021-03-02,DE,1426,87193,113,1405303
2021-03-02,FL,31696,1882865,7047,21901603
2021-03-02,GA,17480,1011807,3147,7234444
2021-03-02,GU,131,7742,5,119289
2021-03-02,HI,439,28390,35,1120660
2021-03-02,IA,5498,280509,230,1316616
2021-03-02,ID,1867,171462,322,640412
2021-03-02,IL,22803,1189416,1577,18234668
2021-03-02,IN,12623,662750,537,8056112
2021-03-02,KS,4743,294302,0,1259105
2021-03-02,KY,4671,406201,1075,3922153
2021-03-02,LA,9647,431271,767,5608696
2021-03-02,MA,16182,582844,301,16317937
2021-03-02,MD,7905,383170,468,7917331
2021-03-02,ME,703,44944,182,1609150
2021-03-02,MI,16544,649057,1642,10455684
2021-03-02,MN,6490,485655,425,6943992
2021-03-02,MO,7932,478682,266,4497905
2021-03-02,MP,2,143,0,17572
2021-03-02,MS,6724,295295,301,1754669
2021-03-02,MT,1372,100158,155,1081562
2021-03-02,NC,11288,863409,1239,9541671
2021-03-02,ND,1477,99957,105,1413141
2021-03-02,NE,2084,201346,400,2382251
2021-03-02,NH,1170,75803,215,1465475
2021-03-02,NJ,23321,795785,3289,10779311
2021-03-02,NM,3740,185542,245,2710151
2021-03-02,NV,4967,294289,309,2729627
2021-03-02,NY,38660,1642480,5800,38409107
2021-03-02,OH,17189,970583,1736,10084481
2021-03-02,OK,4534,424999,111,3525279
2021-03-02,OR,2212,155787,190,3748444
2021-03-02,PA,24100,935834,2564,10476323
2021-03-02,PR,2040,100735,151,406707
2021-03-02,RI,2525,126849,261,3022306
2021-03-02,SC,8576,518823,847,5068421
2021-03-02,SD,1888,112652,182,692858
2021-03-02,TN,11436,776337,644,6797475
2021-03-02,TX,43266,2655592,7747,19643058
2021-03-02,UT,1949,371979,487,2865473
2021-03-02,VA,8943,578559,1385,5928679
2021-03-02,VI,25,2646,0,47871
2021-03-02,VT,206,15372,88,1078840
2021-03-02,WA,4969,340708,935,5280330
2021-03-02,WI,7050,618307,607,6938594
2021-03-02,WV,2301,132184,136,2190001
2021-03-02,WY,682,54527,56,641380
2021-03-01,AK,300,56339,350,1698031
2021-03-01,AL,9931,493769,517,2292074
2021-03-01,AR,5250,322509,94,2698497
2021-03-01,AS,0,0,0,2140
2021-03-01,AZ,15979,817821,1039,7682489
2021-03-01,CA,52194,3479078,3516,48712676
2021-03-01,CO,5952,429839,1536,6229855
2021-03-01,CT,7651,282626,2680,6403426
2021-03-01,DC,1019,40684,86,1231593
2021-03-01,DE,1422,87080,281,1400454
2021-03-01,FL,31556,1875818,1664,21784686
2021-03-01,GA,17376,1008660,2139,7215169
